src_ip,dst_ip,protocol,length,label
6,14,17,657,0
6,14,17,69,0
14,6,17,155,0
6,14,17,67,0
6,14,17,165,0
14,6,17,73,1
6,14,17,1395,0
6,14,17,1395,0
6,14,17,1399,0
6,14,17,1399,0
6,14,17,1399,0
6,14,17,1399,0
6,14,17,1399,0
6,14,17,296,0
14,6,17,79,0
6,14,17,1394,0
6,14,17,1399,1
6,14,17,428,0
6,14,17,1394,0
6,14,17,1399,0
6,14,17,1399,0
6,14,17,1399,0
6,14,17,532,1
14,6,17,73,0
14,6,17,73,0
14,13,17,75,1
6,14,17,69,0
13,14,17,91,1
14,3,6,74,0
3,14,6,74,0
14,3,6,66,0
14,3,6,1299,0
14,3,6,242,0
3,14,6,66,0
3,14,6,66,0
3,14,6,1466,0
14,3,6,66,0
3,14,6,2800,0
14,3,6,66,0
14,3,6,124,0
14,3,6,236,0
3,14,6,680,0
3,14,6,97,0
